,MIR3125,MIR6071,MIR4477B,MIR635,MIR548N,MIR590,MIR23B,MIR4666A,MIR1244.4,MIR1244.3,MIR98,MIR5587,MIR1244.2,MIR4421,MIR3682,MIR4423,MIR4322,MIR3616,MIR4648,MIR649,MIR3685,MIR616,MIR4754,MIR4645,MIR4257,MIR6891,MIR378H,MIR3176,MIR657,MIR1250,MIR27B,MIR26A2,MIR125B1,MIR4530,MIR4701,MIR6812,MIR186,MIR3153,MIR5695,MIR6739,MIR6503,MIR6797,MIR6784,MIR3942,MIR25,MIR378B,MIR4261,MIR4256,MIR617,MIR339,MIR6807,MIR578,MIR124.2,MIR221,MIR3189,MIR1302.5,MIR181D,MIR548AH,MIR6835,MIR548AC,MIR4755,MIR647,MIR589,MIR4664,MIR4521,MIR519B,MIR659,MIR128.2,MIR5010,MIR320A,MIR151B,MIR3605,MIR4443,MIRLET7I,MIR6736,MIR570,MIR491,MIR145,MIR6806,MIR6753,MIR1324,MIR3677,MIR210,MIR10B,MIR126,MIR320B2,MIR4442,MIR93,MIR6750,MIR7156,MIR4292,MIR4668,MIR6721,MIR3138,MIR6772,MIR6068,MIR2116,MIR3713,AL513534.1,MIR3132
TCGA-W9-A837-01A-11R-A36H-07,0.2,0.084070796460177,0.1075,0.207920792079208,0.125,0.170731707317073,0.0,0.0645161290322581,0.0782608695652174,0.115384615384615,0.0,0.176470588235294,0.0384615384615385,0.0,0.369703389830508,0.0,0.0487804878048781,0.0,0.196078431372549,0.230769230769231,0.27027027027027,0.0229885057471264,0.0,0.0666666666666667,0.166666666666667,0.0,0.157894736842105,0.147058823529412,0.0490196078431373,0.132075471698113,0.0344827586206897,0.0058997050147492,0.0512820512820513,0.222222222222222,0.1,0.0,0.0975609756097561,0.0,0.421052631578947,0.142857142857143,0.0,0.0,0.117647058823529,0.25,0.110294117647059,0.102564102564103,0.0,0.0,0,0.230769230769231,0.0,0.0217391304347826,0.411764705882353,0.0,0.0,0.5,0.117647058823529,0.25,0.0,0.0,0.0,0.271186440677966,0.333333333333333,0.0689655172413793,0.142857142857143,0,0.0512820512820513,0.142857142857143,0.192307692307692,0.0,0.0,0.3,0,0.4,0.0,0.252873563218391,0.0,0.0625,0.0,0.0666666666666667,0.0,0.52,0.0277777777777778,0.0,0.0,0.25,0.555555555555556,0.125,0.0,0.0,0.333333333333333,0.0,0.0,0.0,0.125,0.0,0.166666666666667,0,0.351351351351351,0.0
TCGA-CS-6666-01A-11R-1896-07,0.0666666666666667,0.0752212389380531,0.0575,0.168316831683168,0.125,0.0731707317073171,0.0,0.17741935483871,0.008695652173913,0.0769230769230769,0.0,0.352941176470588,0.0192307692307692,0.5,0.0095338983050847,0.0,0.121951219512195,0.0,0.0,0.461538461538462,0.22972972972973,0.0114942528735632,0.0,0.0,0.0,0.0,0.0526315789473684,0.176470588235294,0.0,0.150943396226415,0.103448275862069,0.0029498525073746,0.0897435897435897,0.222222222222222,0.1,0.2,0.109756097560976,0.1,0.0526315789473684,0.0,0.0256410256410256,0.285714285714286,0.117647058823529,0.125,0.110294117647059,0.128205128205128,0.0,0.0,0,0.115384615384615,0.333333333333333,0.0869565217391304,0.0882352941176471,0.0,0.0,0.0,0.0,0.0,0.411764705882353,0.0,0.0,0.124293785310734,0.166666666666667,0.155172413793103,0.0,0,0.0256410256410256,0.0,0.115384615384615,0.0,0.0,0.2,0,0.2,0.0,0.126436781609195,0.0,0.125,0.0,0.133333333333333,0.0,0.52,0.0,0.0,0.0,0.25,0.305555555555556,0.0833333333333333,0.0,0.0,0.135802469135802,0.0,0.0,0.0,0.125,0.0,0.0,0,0.324324324324324,0.428571428571429
TCGA-DU-A5TU-01A-11R-A28M-07,0.0333333333333333,0.0176991150442478,0.2725,0.0792079207920792,0.0,0.0487804878048781,0.0,0.145161290322581,0.104347826086957,0.230769230769231,0.0,0.0,0.21978021978022,0.0,0.393008474576271,0.0,0.0,0.0,0.0,0.0,0.22972972972973,0.0,0.0,0.0666666666666667,0.0,0.0,0.0,0.147058823529412,0.0,0.0188679245283019,0.0,0.0,0.0,0.222222222222222,0.0,0.3,0.0609756097560976,0.0,0.157894736842105,0.214285714285714,0.0769230769230769,0.428571428571429,0.176470588235294,0.5,0.492647058823529,0.0769230769230769,0.0,0.0,0,0.269230769230769,0.0,0.282608695652174,0.0294117647058824,0.0689655172413793,0.0,0.0,0.235294117647059,0.0,0.0588235294117647,0.0,0.0,0.225988700564972,0.166666666666667,0.0344827586206897,0.0,0,0.230769230769231,0.142857142857143,0.115384615384615,0.428571428571429,0.0,0.4,0,0.0,0.0,0.206896551724138,0.0,0.0,0.666666666666667,0.0,0.0,0.44,0.0,0.0338983050847458,0.0,0.0,0.0,0.208333333333333,0.0,0.0,0.160493827160494,0.0,0.0,0.0,0.125,0.0,0.0,0,0.0810810810810811,0.0
TCGA-DH-A7UR-01A-11R-A33Z-07,0.0333333333333333,0.084070796460177,0.305,0.178217821782178,0.0,0.146341463414634,0.0625,0.161290322580645,0.139130434782609,0.115384615384615,0.2,0.0,0.0576923076923077,0.5,0.170550847457627,0.0,0.317073170731707,0.0,0.0588235294117647,0.230769230769231,0.486486486486487,0.003831417624521,0.125,0.0333333333333333,0.0833333333333333,0.0,0.0526315789473684,0.117647058823529,0.0098039215686274,0.169811320754717,0.0344827586206897,0.0058997050147492,0.0256410256410256,0.0,0.1,0.2,0.0487804878048781,0.1,0.578947368421053,0.357142857142857,0.0,0.142857142857143,0.0588235294117647,0.0,0.345588235294118,0.0,0.0,0.0,0,0.384615384615385,0.0,0.0217391304347826,0.323529411764706,0.0,0.0,0.0,0.117647058823529,0.0,0.235294117647059,0.0,0.333333333333333,0.310734463276836,0.444444444444444,0.0344827586206897,0.428571428571429,0,0.153846153846154,0.142857142857143,0.307692307692308,0.142857142857143,1.0,0.2,0,0.8,0.0,0.655172413793103,0.0,1.0,0.333333333333333,0.0,0.0,0.32,0.111111111111111,0.0508474576271186,1.0,0.0,0.166666666666667,0.666666666666667,0.0,0.0,0.333333333333333,0.0,0.0,0.0,0.25,0.0,0.0,0,0.27027027027027,0.0
TCGA-E1-A7YV-01A-11R-A34R-07,0.133333333333333,0.0309734513274336,0.38,0.198019801980198,0.0,0.463414634146341,0.125,0.0967741935483871,0.28695652173913,0.230769230769231,0.0,0.529411764705882,0.104395604395604,0.0,0.106991525423729,0.0,0.024390243902439,0.0,0.490196078431373,0.0769230769230769,0.202702702702703,0.210727969348659,0.625,0.133333333333333,0.0833333333333333,0.0,0.105263157894737,0.558823529411765,0.0490196078431373,0.113207547169811,0.103448275862069,0.0412979351032448,0.0769230769230769,0.222222222222222,0.7,0.2,0.426829268292683,0.35,0.473684210526316,0.285714285714286,0.0,0.0,0.352941176470588,0.125,0.477941176470588,0.0769230769230769,1.0,0.4,0,0.538461538461538,0.0,0.0434782608695652,0.147058823529412,0.103448275862069,0.0,0.0,0.0588235294117647,0.25,0.411764705882353,0.0,0.333333333333333,0.711864406779661,0.888888888888889,0.0517241379310345,0.0,0,0.0512820512820513,0.0,0.307692307692308,0.142857142857143,0.0,0.4,0,0.4,0.0,0.540229885057471,0.166666666666667,0.0625,0.666666666666667,0.0666666666666667,0.0,0.2,0.0,0.330508474576271,0.380952380952381,0.25,0.138888888888889,0.583333333333333,0.4,0.0,0.407407407407407,0.0,0.0,0.0,0.0,0.0,1.0,0,0.540540540540541,0.0
TCGA-DH-5144-01A-01R-1470-07,0.133333333333333,0.0486725663716814,0.255,0.118811881188119,0.0,0.0731707317073171,0.0,0.129032258064516,0.0,0.0961538461538462,0.0,0.117647058823529,0.0769230769230769,0.0,0.183262711864407,0.0357142857142857,0.0487804878048781,0.0,0.0,0.0769230769230769,0.297297297297297,0.0114942528735632,0.25,0.0333333333333333,0.0,0.0,0.0,0.0294117647058824,0.0,0.0377358490566038,0.0,0.0058997050147492,0.0128205128205128,0.0,0.0,0.0,0.0365853658536585,0.15,0.473684210526316,0.142857142857143,0.0,0.0,0.0,0.0,0.0882352941176471,0.0,0.0,0.2,0,0.230769230769231,0.0,0.0217391304347826,0.264705882352941,0.0344827586206897,0.0,0.0,0.117647058823529,0.25,0.117647058823529,0.0,0.0,0.0790960451977401,0.111111111111111,0.0344827586206897,0.0,0,0.179487179487179,0.0,0.384615384615385,0.0,0.0,0.0,0,0.2,0.0,0.241379310344828,0.0,0.25,0.0,0.0,0.0,0.36,0.0,0.0169491525423729,0.0,0.5,0.472222222222222,0.208333333333333,0.2,0.5,0.209876543209877,0.0,0.0,0.0,0.125,0.0,0.0,0,0.189189189189189,0.0
TCGA-TM-A7C3-01A-11R-A32Q-07,1.0,0.0309734513274336,0.095,0.306930693069307,0.5,0.75609756097561,0.4375,0.0,0.443478260869565,0.384615384615385,0.2,0.117647058823529,0.18956043956044,0.0,0.323093220338983,0.0,0.0,0.666666666666667,0.588235294117647,0.0,0.932432432432432,0.0114942528735632,0.0,0.0333333333333333,0.333333333333333,0.0,0.368421052631579,0.470588235294118,0.0196078431372549,0.0188679245283019,0.310344827586207,0.156342182890855,0.0769230769230769,0.444444444444444,1.0,0.1,1.0,0.0,0.684210526315789,0.714285714285714,0.0769230769230769,0.285714285714286,0.647058823529412,0.0,0.551470588235294,0.641025641025641,0.0,0.0,0,0.423076923076923,0.333333333333333,0.0,0.0294117647058824,0.0689655172413793,0.0,0.0,0.411764705882353,0.0,0.235294117647059,0.0,0.333333333333333,0.581920903954802,0.166666666666667,0.0517241379310345,0.428571428571429,1,0.0769230769230769,0.428571428571429,1.0,0.0,0.0,0.8,0,0.0,0.0,1.0,1.0,0.1875,0.666666666666667,0.0666666666666667,0.75,0.36,0.0833333333333333,0.288135593220339,0.166666666666667,1.0,0.0555555555555556,0.75,0.6,0.0,0.382716049382716,0.0,0.0,0.0,0.125,0.0,0.0,0,0.621621621621622,0.285714285714286
TCGA-S9-A7IX-01A-12R-A34F-07,0.2,0.0176991150442478,0.075,0.415841584158416,0.0,0.195121951219512,0.25,0.0,0.217391304347826,0.173076923076923,0.2,0.294117647058824,0.162087912087912,0.0,0.324152542372881,0.0,0.0975609756097561,0.0,0.313725490196078,0.0,0.432432432432432,0.0153256704980843,0.0,0.133333333333333,0.0833333333333333,0.0,0.0526315789473684,0.0588235294117647,0.0784313725490196,0.0377358490566038,0.206896551724138,0.0029498525073746,0.0128205128205128,0.111111111111111,0.0,0.2,0.207317073170732,0.05,0.0,0.0,0.0256410256410256,0.142857142857143,0.235294117647059,0.25,0.25,0.0,0.0,0.2,0,0.615384615384615,0.0,0.108695652173913,0.0294117647058824,0.0344827586206897,0.2,0.0,0.117647058823529,0.0,0.117647058823529,0.0,0.0,0.175141242937853,0.166666666666667,0.0517241379310345,0.428571428571429,0,0.0769230769230769,0.0,0.115384615384615,0.285714285714286,0.0,0.4,0,0.2,0.0,0.114942528735632,0.166666666666667,0.0625,0.0,0.0666666666666667,0.0,0.08,0.111111111111111,0.0,0.19047619047619,0.0,0.25,0.291666666666667,0.0,0.0,0.148148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0810810810810811,0.0
TCGA-HT-A61C-01A-11R-A29R-07,0.2,0.0176991150442478,0.1,0.237623762376238,0.25,0.146341463414634,0.25,0.0806451612903226,0.0956521739130435,0.346153846153846,0.0,0.588235294117647,0.200549450549451,0.5,0.121822033898305,0.0,0.658536585365854,0.0,0.0,0.0,0.256756756756757,0.003831417624521,0.625,0.0,0.0,0.0,0.0526315789473684,0.205882352941176,0.0392156862745098,0.0754716981132075,0.241379310344828,0.0029498525073746,0.0,0.444444444444444,0.2,0.3,0.024390243902439,0.05,0.0,0.0714285714285714,0.0769230769230769,0.142857142857143,0.0,0.0,0.345588235294118,0.0,0.25,0.0,0,0.538461538461538,0.0,0.0,0.0,0.0344827586206897,0.0,0.0,0.0,0.0,0.176470588235294,0.0,0.0,0.0903954802259887,0.833333333333333,0.0344827586206897,0.142857142857143,1,0.153846153846154,0.285714285714286,0.0769230769230769,0.142857142857143,0.0,0.0,0,0.2,0.0,0.241379310344828,0.0,0.0625,0.666666666666667,0.133333333333333,0.0,0.08,0.138888888888889,0.101694915254237,0.0476190476190476,0.25,0.0277777777777778,0.291666666666667,0.4,0.0,0.407407407407407,0.0,0.0,0.0,0.375,0.0,0.0,0,0.0810810810810811,0.142857142857143
TCGA-DH-A7UT-01A-12R-A34F-07,0.1,0.0221238938053097,0.36,0.0792079207920792,0.0,0.146341463414634,0.25,0.0161290322580645,0.217391304347826,0.211538461538462,0.0,0.176470588235294,0.0934065934065934,0.0,0.210805084745763,0.0,0.0731707317073171,0.0,0.196078431372549,0.0,0.310810810810811,0.0114942528735632,0.0,0.0333333333333333,0.166666666666667,0.0,0.0,0.0,0.264705882352941,0.188679245283019,0.103448275862069,0.0029498525073746,0.0384615384615385,0.333333333333333,0.1,0.1,0.121951219512195,0.0,0.210526315789474,0.0714285714285714,0.0,0.571428571428571,0.294117647058824,0.0,0.455882352941176,0.230769230769231,0.0,0.0,0,0.5,0.0,0.0869565217391304,0.264705882352941,0.0689655172413793,0.0,0.0,0.235294117647059,0.25,0.294117647058824,0.0,0.0,0.259887005649718,0.333333333333333,0.0517241379310345,0.142857142857143,0,0.102564102564103,0.0,0.153846153846154,0.285714285714286,0.0,0.6,0,0.0,0.0,0.206896551724138,0.0,0.125,0.333333333333333,0.0,0.0,0.36,0.0277777777777778,0.0,0.285714285714286,0.0,0.0277777777777778,0.583333333333333,1.0,0.0,0.308641975308642,0.0,0.0,0.0,0.125,0.0,0.0,0,0.243243243243243,0.0
