,MIR378J,MIR210,MIR4477B,MIR4653,MIR320D1,MIR6729,MIR3153,MIR6832,MIR635,MIR3131,MIR3124,AL031428.2,MIR570,MIR559,MIR6775,MIR6848,MIR4285,MIR200A,MIR1281,MIR6797,MIR200B,MIR589,MIR4420,MIR4664,MIR6774,MIR7111,MIR4263,MIR4258,MIR1285.1,MIR126,MIR6784,MIR1244.2,MIR3159,MIR590,MIR616,MIR3125,MIR3189,MIR7974,MIR6835,MIR3183,MIR4469,MIR6753,MIR3662,MIR324,MIR4648,MIR4261,MIR6776,MIR4428,MIR593,MIR10B,MIR4537,MIR4645,MIR1293,AL513534.1,MIR6769A,MIR548AR,MIR93,MIR219A1,AL928646.1,MIR199A1,MIR4538,MIR7107,MIR4292,MIR3677,MIR6754,MIR3689D1,MIR3649,MIR106B,MIR455,MIR320A,MIR326,MIR4512,MIR4742,MIR5195,MIR4539,MIR5685,MIR1244.3,MIR5091,MIR4488,MIR6819,MIR4658,MIR6747,MIR3671,MIR221,MIR181A2,MIR644A,MIR6806,MIR3942,MIR4728,MIR4326,MIR6768,MIR4482,MIR33A,MIR4256,AL606469.2,MIR647,MIR6730,MIR4730,MIR6891,MIR5009
TCGA-DM-A28M-01A-12R-A16W-07,0.0,0.0,0.0212765957446809,0.112903225806452,0.0,0,0.117647058823529,0.142857142857143,0.228260869565217,0.0634146341463415,0.470588235294118,0.0,0.178082191780822,0.150943396226415,0.1,0.0,0.0,0.0248447204968944,0.0,0.206896551724138,0.0,0.388888888888889,0.0,0.0821917808219178,0.222222222222222,0.347826086956522,0.342105263157895,0.285714285714286,0.105263157894737,0.0,0.272727272727273,0.343603482920295,0,0.145833333333333,0.782608695652174,0.0,0.0727272727272727,0.333333333333333,0.181818181818182,0.0,0.0,0.0476190476190476,0.2,0.0434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285714285714286,0.0645161290322581,0.0,0.0,0.0526315789473684,0.181818181818182,0.0,0.0,0.0,0.0,0.185185185185185,0.333333333333333,0.0,0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.2,0.04,0.0,0.0,0.533333333333333,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.75,0.12,0,0.0,0.0,0.113095238095238,0.0,0.25,0.125,0.0
TCGA-DM-A1D4-01A-21R-A155-07,0.318181818181818,0.162162162162162,0.0106382978723404,0.467741935483871,0.571428571428571,0,0.205882352941176,0.142857142857143,0.25,0.28780487804878,0.235294117647059,0.0,0.383561643835616,0.528301886792453,0.1,0.0,0.0,0.217391304347826,0.0,0.206896551724138,0.05,0.888888888888889,0.0,0.0547945205479452,0.111111111111111,0.608695652173913,0.105263157894737,1.0,0.473684210526316,0.0,0.181818181818182,0.332886805090422,0,0.0833333333333333,1.0,0.0,0.08,0.0,0.454545454545455,0.1,0.0,0.0952380952380952,0.0,0.130434782608696,0.1,0.222222222222222,0.333333333333333,0.0,0.0,0.0,0.0,0.142857142857143,0.0,0.354838709677419,0.0,0.285714285714286,0.157894736842105,0.181818181818182,0.0127388535031847,0.0909090909090909,0.0151515151515152,0.0,0.654320987654321,0.166666666666667,0.0,0,0.0909090909090909,0.0,0.0,0.166666666666667,0.0,0.0,0.0,0.06,0.0,0.166666666666667,0.533333333333333,0.0,0.0,0.111111111111111,0.0,0.0,0.175,0.0714285714285714,0.0,0.0,0.0,0.6,0.0,0.44,0.5,0.08,0,0.0555555555555556,0.0,0.672619047619048,0.166666666666667,0.0,0.0,0.0
TCGA-DM-A1D9-01A-11R-A155-07,0.363636363636364,0.0,0.0851063829787234,0.435483870967742,0.0,0,0.205882352941176,0.142857142857143,0.184782608695652,0.28780487804878,0.294117647058824,0.0,0.547945205479452,0.481132075471698,0.0,0.0,0.0,0.652173913043478,0.0,0.103448275862069,0.316666666666667,0.222222222222222,0.0,0.178082191780822,0.0,0.608695652173913,0.578947368421053,0.142857142857143,0.210526315789474,0.0196078431372549,0.272727272727273,0.397186872069658,0,0.1875,0.434782608695652,0.142857142857143,0.163636363636364,0.0,0.909090909090909,0.0,0.5,0.571428571428571,0.8,0.130434782608696,0.1,0.111111111111111,0.333333333333333,0.03125,0.0,0.0526315789473684,0.0,0.142857142857143,0.0,0.419354838709677,0.0,0.0,0.578947368421053,0.181818181818182,0.0,0.0909090909090909,0.0,0.0,0.555555555555556,0.583333333333333,0.0,0,0.0,0.5,0.0,0.0,0.0,0.1,0.2,0.1,0.0144927536231884,0.666666666666667,0.658333333333333,0.0,0.0,0.333333333333333,0.0,0.0,0.075,0.25,0.027027027027027,0.0,0.0,0.2,0.0108108108108108,0.12,0.5,0.04,0,0.0,0.0,0.321428571428571,0.5,0.0,0.0,0.0
TCGA-AZ-6606-01A-11R-1839-07,0.0909090909090909,0.0810810810810811,0.0106382978723404,0.290322580645161,0.285714285714286,0,0.0882352941176471,0.142857142857143,0.108695652173913,0.204878048780488,0.235294117647059,0.0,0.178082191780822,0.113207547169811,0.2,0.5,0.0,0.180124223602484,0.6,0.0,0.1,0.166666666666667,0.0,0.246575342465753,0.0,0.0869565217391304,0.157894736842105,0.714285714285714,0.0,0.0196078431372549,0.272727272727273,0.166778298727394,0,0.104166666666667,0.260869565217391,0.0,0.0763636363636364,0.666666666666667,0.272727272727273,0.0,0.5,0.0952380952380952,0.4,0.391304347826087,0.0,0.444444444444444,0.333333333333333,0.0,0.0454545454545455,0.0,0.0,0.0714285714285714,0.0,0.17741935483871,0.2,0.142857142857143,0.0526315789473684,0.181818181818182,0.0,0.151515151515152,0.0,0.0,0.148148148148148,0.25,0.125,0,0.181818181818182,0.2,0.0,0.0,0.0,0.2,0.0,0.02,0.0144927536231884,0.0,0.5,0.0,0.0,0.444444444444444,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.266666666666667,0.0108108108108108,0.16,0.0,0.12,0,0.0555555555555556,0.0,0.125,0.0,0.25,0.0,0.0
TCGA-AA-A02W-01A-01R-A00A-07,0.0909090909090909,0.0,0.0,0.0403225806451613,0.0,0,0.0588235294117647,0.0,0.0652173913043478,0.0682926829268293,0.117647058823529,0.0,0.219178082191781,0.235849056603774,0.0,0.0,0.0,0.031055900621118,0.6,0.137931034482759,0.0583333333333333,0.0555555555555556,0.0,0.123287671232877,0.111111111111111,0.521739130434783,0.105263157894737,0.142857142857143,0.210526315789474,0.0,0.0909090909090909,0.0194239785666443,0,0.0625,0.260869565217391,0.0,0.0327272727272727,0.0,0.0454545454545455,0.1,0.0,0.0476190476190476,0.0,0.130434782608696,0.0,0.0,0.333333333333333,0.03125,0.0454545454545455,0.0526315789473684,0.0138888888888889,0.0,0.0,0.129032258064516,0.0,0.714285714285714,0.157894736842105,0.0,0.0127388535031847,0.0303030303030303,0.0,0.0,0.0617283950617284,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.04,0.0289855072463768,0.166666666666667,0.0,0.0,0.333333333333333,0.0,0.0,0.0,0.1,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0,0.0555555555555556,0.0,0.226190476190476,0.166666666666667,0.0,0.0,0.0
TCGA-F4-6569-01A-11R-1774-07,0.0454545454545455,0.027027027027027,0.0,0.0967741935483871,0.0,0,0.0294117647058824,0.0,0.152173913043478,0.0439024390243902,0.470588235294118,0.0,0.0684931506849315,0.0377358490566038,0.0,0.0,0.0,0.0124223602484472,0.0,0.0,0.025,0.166666666666667,0.285714285714286,0.273972602739726,0.0,0.130434782608696,0.157894736842105,0.0714285714285714,0.0526315789473684,0.0,0.0,0.155391828533155,0,0.0208333333333333,0.0869565217391304,0.0,0.0327272727272727,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0454545454545455,0.0,0.0,0.0714285714285714,0.0,0.0483870967741935,0.0,0.0,0.0526315789473684,0.0909090909090909,0.0,0.0,0.0,0.0,0.123456790123457,0.0833333333333333,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0289855072463768,0.0,0.266666666666667,0.0,0.0,0.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333333,0.133333333333333,0.0,0.04,0.0,0.08,0,0.0,0.0,0.0238095238095238,0.0,0.25,0.0,0.0
TCGA-AA-3524-01A-02R-0821-07,0.0,0.0,0.0,0.0080645161290322,0.0,0,0.0,0.0,0.0,0.0048780487804878,0.0588235294117647,0.0,0.0273972602739726,0.0283018867924528,0.0,0.0,0.0,0.0,0.2,0.0,0.0083333333333333,0.0,0.0,0.0273972602739726,0.0,0.0434782608695652,0.0789473684210526,0.0,0.0526315789473684,0.0,0.0,0.0087073007367716,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123456790123457,0.0,0.0,0,0.0909090909090909,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0119047619047619,0.0,0.0,0.0,0.0
TCGA-A6-5661-01A-01R-1653-07,0.0909090909090909,0.027027027027027,0.0,0.0403225806451613,0.0,0,0.0,0.0,0.0760869565217391,0.0048780487804878,0.0588235294117647,0.0,0.0479452054794521,0.0566037735849057,0.0,0.0,0.0,0.0062111801242236,0.0,0.0689655172413793,0.0,0.0555555555555556,0.0,0.0273972602739726,0.111111111111111,0.0434782608695652,0.131578947368421,0.0714285714285714,0.0,0.0,0.0909090909090909,0.0890823844608171,0,0.0,0.0869565217391304,0.0,0.0145454545454545,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.03125,0.0454545454545455,0.0,0.0138888888888889,0.357142857142857,0.0,0.0483870967741935,0.0,0.0,0.0526315789473684,0.181818181818182,0.0,0.0,0.0,0.0,0.0864197530864197,0.0833333333333333,0.0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0289855072463768,0.0,0.275,0.0,0.0,0.111111111111111,0.0,0.0,0.075,0.0,0.027027027027027,0.0,0.0,0.133333333333333,0.0,0.0,0.0,0.08,0,0.0,0.0,0.0059523809523809,0.166666666666667,0.0,0.0,0.0
TCGA-AA-3520-01A-01R-0821-07,0.0454545454545455,0.0,0.0,0.0241935483870968,0.0,0,0.0,0.0,0.130434782608696,0.0487804878048781,0.176470588235294,0.0,0.0616438356164384,0.0283018867924528,0.0,0.0,0.0,0.0434782608695652,0.2,0.0,0.025,0.0555555555555556,0.0,0.0547945205479452,0.0,0.130434782608696,0.131578947368421,0.0,0.0526315789473684,0.0,0.0909090909090909,0.0087073007367716,0,0.0416666666666667,0.0,0.0,0.0109090909090909,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0483870967741935,0.0,0.285714285714286,0.0526315789473684,0.0,0.0764331210191083,0.0,0.0151515151515152,0.166666666666667,0.0864197530864197,0.0833333333333333,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.02,0.0434782608695652,0.0,0.0083333333333333,0.0,0.333333333333333,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.333333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0476190476190476,0.166666666666667,0.0,0.0,0.0
TCGA-AY-5543-01A-01R-1653-07,0.227272727272727,0.216216216216216,0.0106382978723404,0.209677419354839,0.0,0,0.147058823529412,0.0,0.347826086956522,0.360975609756098,0.117647058823529,0.0,0.212328767123288,0.292452830188679,0.0,0.0,0.0,0.186335403726708,0.0,0.0689655172413793,0.141666666666667,0.111111111111111,0.428571428571429,0.0684931506849315,0.0,0.173913043478261,0.289473684210526,0.428571428571429,0.105263157894737,0.0,0.0909090909090909,0.338245144005358,0,0.0416666666666667,0.434782608695652,0.0,0.0981818181818182,0.0,0.0454545454545455,0.0,0.0,0.19047619047619,0.1,0.0869565217391304,0.25,0.0,0.0,0.0,0.0,0.0,0.0138888888888889,0.285714285714286,0.0,0.17741935483871,0.0,0.0,0.0,0.181818181818182,0.0,0.0,0.0151515151515152,0.0,0.185185185185185,0.5,0.0,0,0.0,0.0,0.0,0.0833333333333333,0.0,0.1,0.0,0.08,0.0,0.166666666666667,0.566666666666667,0.0,0.333333333333333,0.0,0.5,0.25,0.05,0.5,0.0,0.0,0.0,0.133333333333333,0.0108108108108108,0.04,0.5,0.08,0,0.0555555555555556,0.0,0.0773809523809524,0.166666666666667,0.25,0.25,0.0
TCGA-AA-3534-01A-01R-0821-07,0.0909090909090909,0.0,0.0,0.0161290322580645,0.0,0,0.0588235294117647,0.142857142857143,0.0760869565217391,0.0341463414634146,0.0588235294117647,0.0,0.102739726027397,0.216981132075472,0.0,0.0,0.0,0.0124223602484472,0.0,0.103448275862069,0.0416666666666667,0.0555555555555556,0.0,0.123287671232877,0.0,0.304347826086957,0.0789473684210526,0.0,0.105263157894737,0.0,0.0909090909090909,0.0046885465505693,0,0.104166666666667,0.0434782608695652,0.0,0.0727272727272727,0.333333333333333,0.0454545454545455,0.2,0.0,0.0952380952380952,0.1,0.173913043478261,0.0,0.0,0.0,0.0,0.0,0.105263157894737,0.0138888888888889,0.0,0.0,0.032258064516129,0.0,0.0,0.368421052631579,0.0,0.0063694267515923,0.0,0.0,0.0,0.246913580246914,0.166666666666667,0.0,0,0.0,0.0,0.166666666666667,0.0833333333333333,0.2,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.111111111111111,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0666666666666667,0.0108108108108108,0.0,0.25,0.0,0,0.0555555555555556,0.0,0.130952380952381,0.166666666666667,0.0,0.0,0.0
